Parent ID,Parent Name,Total 10 Year Mean Count,Total 1 Day Prob,Total 1 Week Prob,Total 1 Month Prob,Total 1 Year Prob,Total 10 Year Prob,Triggered 10 Year Mean Count,Triggered 1 Day Prob,Triggered 1 Week Prob,Triggered 1 Month Prob,Triggered 1 Year Prob,Triggered 10 Year Prob,Triggered 10 Year Primary Mean Count
542,Kern Canyon (Lake Isabella) 2011,9.5E-4,0.0,1.0E-5,1.0E-5,1.4E-4,9.5E-4,7.0E-5,0.0,1.0E-5,1.0E-5,5.0E-5,7.0E-5,2.0E-5
544,Kern Canyon (North Kern) 2011,0.00183,1.0E-5,3.0E-5,6.0E-5,3.6E-4,0.00176,1.2E-4,1.0E-5,3.0E-5,5.0E-5,8.0E-5,1.1E-4,3.0E-5
543,Kern Canyon (South Kern) 2011,0.00111,2.0E-5,4.0E-5,5.0E-5,2.0E-4,0.0011,1.0E-4,1.0E-5,2.0E-5,3.0E-5,7.0E-5,1.0E-4,3.0E-5
92,Kickapoo,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
680,King Range 2011 CFM,0.01073,0.0,1.0E-5,9.0E-5,0.00101,0.01052,0.0,0.0,0.0,0.0,0.0,0.0,0.0
641,La Panza 2011,0.00212,0.0,0.0,1.0E-5,1.6E-4,0.00209,2.0E-5,0.0,0.0,0.0,1.0E-5,2.0E-5,0.0
104,Laguna Salada,0.02968,2.0E-5,3.0E-5,1.4E-4,0.00257,0.02937,3.0E-5,0.0,1.0E-5,2.0E-5,2.0E-5,3.0E-5,1.0E-5
207,Lake Isabella (Seismicity),0.00259,5.0E-5,7.0E-5,1.1E-4,4.2E-4,0.00259,3.0E-4,5.0E-5,7.0E-5,1.0E-4,2.0E-4,3.0E-4,5.0E-5
642,Las Positas,0.00434,0.0,0.0,4.0E-5,4.1E-4,0.00434,0.0,0.0,0.0,0.0,0.0,0.0,0.0
890,Last Chance,9.5E-4,0.0,1.0E-5,1.0E-5,7.0E-5,9.5E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Lenwood-Lockhart-Old Woman Springs,0.0161,6.2E-4,0.00107,0.00157,0.00354,0.01545,0.00387,6.1E-4,0.00106,0.0015,0.00262,0.00375,8.9E-4
705,Likely 2011 CFM,0.00891,0.0,1.0E-5,3.0E-5,6.4E-4,0.00846,0.0,0.0,0.0,0.0,0.0,0.0,0.0
681,Lions Head 2011 CFM,2.5E-4,0.0,0.0,0.0,2.0E-5,2.5E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,Little Lake,0.07554,0.02277,0.03245,0.04065,0.05475,0.07318,0.06846,0.02276,0.03241,0.0406,0.05406,0.06639,0.03869
16,Little Salmon (Offshore),0.00705,1.0E-5,3.0E-5,6.0E-5,4.6E-4,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
