Subsection Index,Subsection Name,Total Mean Annual Rate,Total 500 Year Prob,Long-Term Fault System Solution Rate
228,"Calico-Hidalgo, Subsection 5",3.18E-4,0.157,6.333206E-4
229,"Calico-Hidalgo, Subsection 6",3.14E-4,0.155,6.362374E-4
230,"Calico-Hidalgo, Subsection 7",3.12E-4,0.154,6.2898884E-4
231,"Calico-Hidalgo, Subsection 8",3.22E-4,0.159,6.3270284E-4
232,"Calico-Hidalgo, Subsection 9",3.3E-4,0.161,6.365611E-4
233,"Calico-Hidalgo, Subsection 10",3.4E-4,0.166,6.4697606E-4
234,"Calico-Hidalgo, Subsection 11",3.56E-4,0.174,6.7044335E-4
235,"Calico-Hidalgo, Subsection 12",3.68E-4,0.18,6.8715354E-4
236,"Calico-Hidalgo, Subsection 13",3.64E-4,0.178,6.956645E-4
237,"Calico-Hidalgo, Subsection 14",3.68E-4,0.179,7.371149E-4
238,"Calico-Hidalgo, Subsection 15",4.34E-4,0.204,8.2634814E-4
239,"Calico-Hidalgo, Subsection 16",2.98E-4,0.142,5.8016425E-4
240,"Calico-Hidalgo, Subsection 17",2.14E-4,0.105,3.9969268E-4
241,"Camp Rock 2011, Subsection 0",5.4E-5,0.027,1.4188745E-4
242,"Camp Rock 2011, Subsection 1",1.22E-4,0.06,3.0234098E-4
243,"Camp Rock 2011, Subsection 2",1.42E-4,0.069,3.461726E-4
244,"Camp Rock 2011, Subsection 3",1.44E-4,0.071,3.397028E-4
245,"Camp Rock 2011, Subsection 4",1.38E-4,0.069,3.5198123E-4
246,"Camp Rock 2011, Subsection 5",1.34E-4,0.067,3.4001234E-4
247,"Canada David (Detachment), Subsection 0",6.2E-5,0.031,1.318811E-4
248,"Canada David (Detachment), Subsection 1",7.2E-5,0.036,1.708136E-4
249,"Canada David (Detachment), Subsection 2",7.0E-5,0.035,1.5883667E-4
250,"Carlsbad, Subsection 0",4.8E-5,0.024,1.0222545E-4
251,"Carlsbad, Subsection 1",4.8E-5,0.024,1.06516396E-4
252,"Carlsbad, Subsection 2",5.2E-5,0.026,9.9887024E-5
253,"Carlsbad, Subsection 3",4.0E-5,0.02,9.2472386E-5
254,"Carlsbad, Subsection 4",6.2E-5,0.03,1.1196181E-4
255,"Carlsbad, Subsection 5",8.8E-5,0.044,1.21362296E-4
256,"Carlsbad, Subsection 6",8.4E-5,0.042,1.1330409E-4
257,"Carson Range (Genoa), Subsection 0",3.14E-4,0.156,8.590277E-4
258,"Carson Range (Genoa), Subsection 1",3.52E-4,0.175,9.4382593E-4
259,"Carson Range (Genoa), Subsection 2",3.92E-4,0.194,0.0010642136
260,"Carson Range (Genoa), Subsection 3",3.78E-4,0.184,0.00105435
261,"Carson Range (Genoa), Subsection 4",4.18E-4,0.205,0.0010610528
262,"Carson Range (Genoa), Subsection 5",3.74E-4,0.184,9.455259E-4
263,"Carson Range (Genoa), Subsection 6",3.38E-4,0.166,8.612917E-4
264,"Casmalia 2011 CFM, Subsection 0",2.6E-5,0.013,9.109817E-5
265,"Casmalia 2011 CFM, Subsection 1",3.0E-5,0.015,9.891563E-5
266,"Casmalia 2011 CFM, Subsection 2",3.4E-5,0.017,9.739885E-5
267,"Casmalia 2011 CFM, Subsection 3",4.6E-5,0.023,9.763549E-5
268,"Casmalia 2011 CFM, Subsection 4",5.8E-5,0.029,9.999262E-5
269,"Casmalia 2011 CFM, Subsection 5",7.0E-5,0.035,1.0015672E-4
270,"Casmalia 2011 CFM, Subsection 6",9.4E-5,0.047,1.059904E-4
271,"Casmalia 2011 CFM, Subsection 7",9.4E-5,0.047,9.8947836E-5
272,"Cedar Mtn-Mahogany Mtn, Subsection 0",8.4E-5,0.042,1.2831025E-4
273,"Cedar Mtn-Mahogany Mtn, Subsection 1",9.6E-5,0.048,1.5477718E-4
274,"Cedar Mtn-Mahogany Mtn, Subsection 2",1.24E-4,0.061,1.9278387E-4
275,"Cedar Mtn-Mahogany Mtn, Subsection 3",1.42E-4,0.07,2.2128815E-4
276,"Cedar Mtn-Mahogany Mtn, Subsection 4",1.58E-4,0.077,2.4394869E-4
277,"Cedar Mtn-Mahogany Mtn, Subsection 5",1.5E-4,0.074,2.3942314E-4
278,"Cedar Mtn-Mahogany Mtn, Subsection 6",1.58E-4,0.078,2.3772915E-4
279,"Cedar Mtn-Mahogany Mtn, Subsection 7",1.5E-4,0.074,2.3715329E-4
280,"Cedar Mtn-Mahogany Mtn, Subsection 8",1.44E-4,0.071,2.3727569E-4
281,"Cedar Mtn-Mahogany Mtn, Subsection 9",1.38E-4,0.067,2.4149103E-4
282,"Cedar Mtn-Mahogany Mtn, Subsection 10",1.4E-4,0.068,2.492101E-4
283,"Cedar Mtn-Mahogany Mtn, Subsection 11",1.22E-4,0.061,2.2563338E-4
284,"Cedar Mtn-Mahogany Mtn, Subsection 12",1.06E-4,0.053,1.9684565E-4
285,"Cedar Mtn-Mahogany Mtn, Subsection 13",8.8E-5,0.044,1.5942687E-4
286,"Cedar Mtn-Mahogany Mtn, Subsection 14",6.6E-5,0.033,1.3094301E-4
287,"Cerro Prieto, Subsection 0",2.0E-6,0.001,8.2181805E-6
288,"Cerro Prieto, Subsection 1",9.82E-4,0.399,0.0015262336
289,"Cerro Prieto, Subsection 2",0.0019,0.646,0.0028848762
290,"Cerro Prieto, Subsection 3",0.002616,0.761,0.0038702274
291,"Cerro Prieto, Subsection 4",0.003752,0.883,0.0052863015
292,"Cerro Prieto, Subsection 5",0.004868,0.945,0.006729426
293,"Cerro Prieto, Subsection 6",0.00635,0.98,0.008479797
294,"Cerro Prieto, Subsection 7",0.007896,0.996,0.010314459
295,"Cerro Prieto, Subsection 8",0.009204,0.999,0.011867968
296,"Cerro Prieto, Subsection 9",0.009926,0.999,0.01267871
297,"Cerro Prieto, Subsection 10",0.009808,0.999,0.01248509
298,"Cerro Prieto, Subsection 11",0.009214,0.998,0.011632226
299,"Channel Islands Thrust, Subsection 0",4.64E-4,0.225,6.4736966E-4
300,"Channel Islands Thrust, Subsection 1",4.82E-4,0.233,6.5671344E-4
301,"Channel Islands Thrust, Subsection 2",2.94E-4,0.144,4.4552953E-4
302,"Channel Islands Thrust, Subsection 3",3.12E-4,0.148,4.546951E-4
303,"Channel Islands Thrust, Subsection 4",4.94E-4,0.237,6.19688E-4
304,"Channel Islands Thrust, Subsection 5",4.66E-4,0.225,5.8738113E-4
305,"Channel Islands Western Deep Ramp, Subsection 0",1.74E-4,0.086,1.9091545E-4
306,"Channel Islands Western Deep Ramp, Subsection 1",1.98E-4,0.097,2.2693056E-4
307,"Channel Islands Western Deep Ramp, Subsection 2",1.8E-4,0.089,2.0659273E-4
308,"Channel Islands Western Deep Ramp, Subsection 3",1.88E-4,0.092,1.983673E-4
309,"Channel Islands Western Deep Ramp, Subsection 4",1.9E-4,0.092,2.0114385E-4
310,"Channel Islands Western Deep Ramp, Subsection 5",1.78E-4,0.086,1.9557688E-4
311,"Chino alt 1, Subsection 0",1.58E-4,0.078,2.298297E-4
312,"Chino alt 1, Subsection 1",1.98E-4,0.094,2.6975173E-4
313,"Chino alt 1, Subsection 2",3.56E-4,0.164,5.0769164E-4
314,"Chino alt 1, Subsection 3",4.76E-4,0.22,6.7926216E-4
315,"Chino alt 1, Subsection 4",4.6E-4,0.214,6.465838E-4
316,"Clamshell-Sawpit, Subsection 0",9.0E-5,0.044,1.3494818E-4
317,"Clamshell-Sawpit, Subsection 1",9.0E-5,0.044,1.3494818E-4
318,"Clayton, Subsection 0",1.88E-4,0.094,3.4424328E-4
319,"Clayton, Subsection 1",2.1E-4,0.105,3.7555463E-4
320,"Clayton, Subsection 2",2.08E-4,0.104,3.696776E-4
321,"Cleghorn, Subsection 0",1.28E-4,0.063,1.7545446E-4
322,"Cleghorn, Subsection 1",1.4E-4,0.069,1.9428114E-4
323,"Cleghorn, Subsection 2",1.38E-4,0.067,2.0015794E-4
324,"Cleghorn, Subsection 3",1.28E-4,0.063,1.8108217E-4
325,"Cleghorn Lake, Subsection 0",3.28E-4,0.155,4.2848117E-4
326,"Cleghorn Lake, Subsection 1",3.62E-4,0.169,4.5937774E-4
327,"Cleghorn Lake, Subsection 2",3.48E-4,0.168,4.387554E-4
328,"Cleghorn Lake, Subsection 3",3.56E-4,0.173,4.4265113E-4
329,"Cleghorn Lake, Subsection 4",3.34E-4,0.162,4.1475243E-4
330,"Cleghorn Pass, Subsection 0",0.0,0.0,0.0
331,"Cleghorn Pass, Subsection 1",0.0,0.0,0.0
332,"Cleghorn Pass, Subsection 2",0.0,0.0,0.0
333,"Cleghorn Pass, Subsection 3",0.0,0.0,0.0
334,"Collayami 2011 CFM, Subsection 0",4.8E-5,0.024,1.5661278E-4
